
Date of this analysis:,2024_04_15-15_12_03
Reference file used:,C:\Users\DWOS\Desktop\Ref Arch\Arch-011-CUT.stl,
Results:
,mean,amd,stdev,1sig,2sig,rms
1-0-0-1B8_PAT-240410-112851_LOWER_ARCH.stl,0.005,0.023,0.032,0.057,0.116,0.033
1-0-0-1B8_PAT-240410-112851_UPPER_ARCH.stl,0.005,0.024,0.033,0.055,0.118,0.033
1-0-0-1C5_PAT-240410-112851_LOWER_ARCH.stl,0.006,0.015,0.023,0.032,0.066,0.024
1-0-0-1C5_PAT-240410-112851_UPPER_ARCH.stl,0.004,0.017,0.025,0.039,0.081,0.025
1-0-0-1D9_PAT-240410-112851_LOWER_ARCH.stl,0.005,0.016,0.025,0.037,0.074,0.025
1-0-0-1D9_PAT-240410-112851_UPPER_ARCH.stl,0.009,0.023,0.030,0.054,0.104,0.032
1-0-0-1E7_PAT-240405-130727_LOWER_ARCH.stl,-0.000,0.020,0.029,0.044,0.107,0.029
1-0-0-1E7_PAT-240405-130727_UPPER_ARCH.stl,0.007,0.026,0.034,0.062,0.116,0.035
1-0-0-201_PAT-240410-112851_LOWER_ARCH.stl,0.004,0.024,0.033,0.056,0.130,0.034
1-0-0-201_PAT-240410-112851_UPPER_ARCH.stl,0.002,0.017,0.026,0.038,0.081,0.026

,avg mean,avg amd,avg stdev,avg 1sig,avg 2sig,avg rms
,0.005,0.020,0.029,0.048,0.099,0.030

,max mean,max amd,max stdev,max 1sig,max 2sig,max rms
,0.009,0.026,0.034,0.062,0.130,0.035
