,Date,Time,Data Type,Value
0,08-30,10:13:31,GPU Texture mapping enabled,false
1,08-30,10:14:09,GPU Texture mapping enabled,false
2,08-30,10:14:47,GPU Texture mapping enabled,false
3,08-30,10:15:25,GPU Texture mapping enabled,false
4,08-30,10:20:38,GPU Texture mapping enabled,false
5,08-30,10:21:16,GPU Texture mapping enabled,false
6,08-30,10:21:54,GPU Texture mapping enabled,false
7,08-30,11:02:59,GPU Texture mapping enabled,false
8,08-30,11:03:56,GPU Texture mapping enabled,false
9,08-30,11:04:54,GPU Texture mapping enabled,false
10,08-30,11:05:52,GPU Texture mapping enabled,false
11,08-30,11:06:49,GPU Texture mapping enabled,false
12,08-30,11:07:47,GPU Texture mapping enabled,false
13,08-30,11:08:45,GPU Texture mapping enabled,false
14,08-30,11:15:19,GPU Texture mapping enabled,false
15,08-30,11:16:17,GPU Texture mapping enabled,false
16,08-30,11:17:15,GPU Texture mapping enabled,false
17,08-30,11:18:13,GPU Texture mapping enabled,false
18,08-30,11:21:01,GPU Texture mapping enabled,false
19,08-30,11:21:59,GPU Texture mapping enabled,false
20,08-30,11:22:57,GPU Texture mapping enabled,false
21,08-30,14:07:53,GPU Texture mapping enabled,false
22,08-30,15:19:59,GPU Texture mapping enabled,false
23,08-30,15:20:57,GPU Texture mapping enabled,false
24,08-30,15:21:56,GPU Texture mapping enabled,false
25,08-30,15:22:53,GPU Texture mapping enabled,false
26,08-30,15:23:51,GPU Texture mapping enabled,false
27,08-30,15:24:49,GPU Texture mapping enabled,false
28,08-30,15:25:46,GPU Texture mapping enabled,false
29,08-30,15:26:44,GPU Texture mapping enabled,false
30,08-30,15:27:42,GPU Texture mapping enabled,false
31,09-01,07:53:14,GPU Texture mapping enabled,false
32,09-01,07:54:47,GPU Texture mapping enabled,false
33,09-01,07:56:20,GPU Texture mapping enabled,false
34,09-08,11:38:43,Meshing Time,3505ms
35,09-08,11:38:47,GPU Texture mapping enabled,false
36,09-08,11:38:49,Texturing Time,2848ms
37,09-08,11:38:49,Total meshing Time,10445ms
