Sound Analyzer App: v2.4
Mode: 	SLM
Last calibration: 	No calibrated !
Date: 	5 Jul. 2021
Time: 	11:36:21 a.m.
Duration (s): 	36.037370
Overflow: 	0
Statistics	LZE (dB)	LZeq (dB)	LZF (dB)	LZS (dB)	LZI (dB)	LAE (dBA)	LAeq (dBA)	LAF (dBA)	LAS (dBA)	LAI (dBA)	LCE (dBC)	LCeq (dBC)	LCF (dBC)	LCS (dBC)	LCI (dBC)	LEX8h (dBA)
Max	n/a	n/a	76.39	75.35	76.67	n/a	n/a	76.36	75.30	76.60	n/a	n/a	76.30	75.26	76.57	n/a
Min	n/a	n/a	73.31	74.37	73.87	n/a	n/a	73.24	74.31	73.80	n/a	n/a	73.21	74.27	73.77	n/a
Time (s): 	LZE (dB)	LZeq (dB)	LZF (dB)	LZS (dB)	LZI (dB)	LAE (dBA)	LAeq (dBA)	LAF (dBA)	LAS (dBA)	LAI (dBA)	LCE (dBC)	LCeq (dBC)	LCF (dBC)	LCS (dBC)	LCI (dBC)	LEX8h (dBA)
0.092880	64.87	75.19	75.03	74.75	75.22	64.83	75.15	75.00	74.73	75.17	64.77	75.10	74.94	74.65	75.12	20.24
0.185760	67.35	74.66	74.55	74.69	75.16	67.29	74.60	74.50	74.66	75.10	67.25	74.56	74.45	74.59	75.06	22.70
0.278639	68.85	74.40	74.21	74.62	75.09	68.80	74.34	74.16	74.59	75.04	68.75	74.30	74.11	74.52	74.99	24.20
0.371519	70.02	74.32	74.19	74.58	75.03	69.95	74.25	74.10	74.54	74.98	69.92	74.22	74.08	74.48	74.94	25.36
0.464399	71.09	74.42	74.57	74.60	75.02	71.03	74.36	74.50	74.56	74.97	70.99	74.32	74.47	74.50	74.92	26.44
0.557279	71.79	74.33	74.20	74.53	74.96	71.72	74.25	74.11	74.49	74.90	71.69	74.23	74.10	74.44	74.86	27.12
0.650159	72.46	74.33	74.35	74.52	74.92	72.39	74.26	74.27	74.48	74.87	72.36	74.23	74.25	74.42	74.83	27.80
0.743039	73.31	74.60	75.51	74.69	76.16	73.24	74.53	75.45	74.65	76.11	73.21	74.50	75.42	74.60	76.08	28.65
0.835918	74.06	74.84	76.07	74.88	76.41	74.00	74.77	76.01	74.83	76.35	73.96	74.74	75.98	74.78	76.32	29.40
0.928798	74.48	74.80	75.29	74.84	76.31	74.42	74.74	75.25	74.80	76.25	74.38	74.70	75.20	74.74	76.22	29.83
1.021678	75.07	74.98	75.91	75.01	76.45	75.02	74.93	75.89	74.97	76.46	74.98	74.88	75.82	74.91	76.37	30.43
1.114558	75.35	74.88	74.84	74.90	76.33	75.30	74.83	74.82	74.86	76.33	75.25	74.78	74.74	74.80	76.24	30.71
1.207438	75.73	74.91	75.07	74.94	76.27	75.68	74.86	75.03	74.90	76.28	75.64	74.82	74.98	74.84	76.18	31.09
1.300317	76.04	74.90	74.89	74.92	76.19	75.99	74.85	74.80	74.87	76.19	75.94	74.80	74.79	74.82	76.10	31.39
1.393197	76.27	74.83	74.21	74.81	76.07	76.21	74.77	74.17	74.77	76.07	76.17	74.73	74.11	74.72	75.98	31.62
1.486077	76.52	74.80	74.30	74.78	75.99	76.47	74.75	74.26	74.74	75.99	76.42	74.70	74.19	74.68	75.90	31.88
1.578957	76.74	74.76	74.15	74.72	75.90	76.69	74.71	74.07	74.67	75.89	76.65	74.66	74.05	74.62	75.81	32.10
1.671837	76.91	74.68	73.71	74.60	75.77	76.86	74.62	73.60	74.54	75.76	76.81	74.58	73.61	74.50	75.68	32.26
1.764717	77.15	74.68	74.44	74.61	75.72	77.10	74.63	74.39	74.57	75.71	77.05	74.59	74.34	74.52	75.62	32.50
1.857596	77.34	74.65	74.06	74.55	75.63	77.29	74.60	74.03	74.51	75.62	77.24	74.55	73.97	74.46	75.53	32.69
1.950476	77.52	74.62	73.91	74.50	75.54	77.47	74.56	73.85	74.45	75.53	77.42	74.52	73.81	74.40	75.45	32.87
2.043356	77.74	74.64	74.55	74.56	75.51	77.69	74.58	74.44	74.50	75.49	77.65	74.54	74.45	74.46	75.42	33.09
2.136236	77.91	74.61	74.21	74.50	75.43	77.85	74.55	74.12	74.44	75.41	77.81	74.51	74.11	74.40	75.34	33.25
2.229116	78.04	74.56	73.76	74.40	75.32	77.98	74.50	73.69	74.34	75.30	77.94	74.46	73.66	74.30	75.23	33.39
2.321995	78.22	74.56	74.31	74.42	75.29	78.16	74.50	74.19	74.36	75.26	78.12	74.46	74.21	74.32	75.19	33.57
2.414875	78.43	74.60	75.07	74.53	75.52	78.37	74.54	74.99	74.47	75.45	78.33	74.50	74.98	74.43	75.44	33.78
2.507755	78.56	74.56	74.30	74.44	75.42	78.50	74.50	74.27	74.39	75.35	78.46	74.47	74.21	74.35	75.33	33.90
2.600635	78.71	74.56	74.39	74.45	75.37	78.65	74.50	74.34	74.39	75.30	78.61	74.46	74.29	74.35	75.28	34.06
2.693515	78.89	74.59	74.80	74.53	75.36	78.83	74.53	74.76	74.47	75.30	78.79	74.49	74.70	74.43	75.28	34.24
2.786395	79.01	74.56	74.25	74.46	75.28	78.96	74.50	74.25	74.41	75.22	78.91	74.46	74.15	74.36	75.19	34.36
2.879274	79.15	74.55	74.31	74.45	75.23	79.09	74.50	74.24	74.39	75.16	79.05	74.46	74.21	74.35	75.14	34.50
2.972154	79.28	74.55	74.48	74.45	75.19	79.23	74.50	74.43	74.40	75.12	79.18	74.45	74.38	74.36	75.10	34.63
3.065034	79.43	74.56	74.70	74.49	75.17	79.37	74.51	74.66	74.44	75.11	79.33	74.46	74.61	74.40	75.08	34.78
3.157914	79.57	74.58	75.06	74.56	75.17	79.52	74.52	74.98	74.50	75.11	79.48	74.48	74.97	74.46	75.08	34.92
3.250794	79.71	74.59	74.98	74.59	75.16	79.65	74.53	74.88	74.52	75.09	79.61	74.49	74.89	74.49	75.07	35.06
3.343673	79.83	74.58	74.67	74.57	75.11	79.77	74.52	74.58	74.51	75.04	79.73	74.49	74.57	74.47	75.02	35.17
3.436553	79.96	74.60	74.89	74.62	75.12	79.90	74.54	74.82	74.56	75.06	79.86	74.50	74.80	74.52	75.02	35.31
3.529433	80.11	74.63	75.39	74.74	75.80	80.05	74.58	75.33	74.68	75.78	80.01	74.54	75.29	74.64	75.70	35.46
3.622313	80.24	74.65	75.14	74.78	75.77	80.18	74.59	75.08	74.72	75.74	80.14	74.55	75.05	74.68	75.67	35.59
3.715193	80.35	74.65	74.94	74.77	75.71	80.29	74.59	74.88	74.71	75.68	80.25	74.55	74.85	74.67	75.61	35.70
3.808073	80.44	74.63	74.37	74.70	75.62	80.38	74.57	74.29	74.64	75.59	80.34	74.54	74.27	74.60	75.52	35.79
3.900952	80.55	74.64	74.49	74.70	75.57	80.49	74.58	74.47	74.65	75.55	80.45	74.54	74.40	74.61	75.47	35.90
3.993832	80.68	74.67	75.34	74.81	75.79	80.63	74.61	75.34	74.77	75.83	80.58	74.57	75.24	74.72	75.70	36.03
4.086712	80.84	74.72	76.04	75.01	76.65	80.78	74.67	76.01	74.96	76.53	80.74	74.63	75.95	74.91	76.56	36.19
4.179592	80.94	74.73	75.71	75.02	76.57	80.89	74.68	75.65	74.97	76.45	80.85	74.64	75.62	74.92	76.48	36.29
4.272472	81.04	74.73	75.31	75.00	76.49	80.99	74.68	75.25	74.95	76.37	80.94	74.64	75.22	74.91	76.40	36.39
4.365351	81.12	74.72	74.84	74.94	76.38	81.07	74.67	74.79	74.89	76.27	81.03	74.63	74.74	74.85	76.29	36.48
4.458231	81.22	74.73	74.64	74.92	76.30	81.16	74.67	74.61	74.88	76.19	81.12	74.63	74.54	74.83	76.21	36.57
