
ID:,DF674856DB9C3826
Unit of Measure: Temperature: Celsius; Humidity: %RH; Pressure: mbar
Date Format: MM/DD/YYYY
Recorded Data:
CH1 (%),CH2 (C),CH3 (mb),Time,Date
+43.3,+21.3,00998,07:53,06/26/2023
+43.5,+21.3,00998,06:53,06/26/2023
+43.2,+21.3,00998,05:53,06/26/2023
+43.2,+21.3,00998,04:53,06/26/2023
+43.4,+21.4,00998,03:53,06/26/2023
+44.2,+21.4,00998,02:53,06/26/2023
+42.9,+21.3,00999,01:53,06/26/2023
+42.7,+21.3,00999,00:53,06/26/2023
+42.4,+21.3,01000,23:53,06/25/2023
+42.5,+21.4,01000,22:53,06/25/2023
+42.7,+21.4,01000,21:53,06/25/2023
+42.8,+21.4,01000,20:53,06/25/2023
+43.3,+21.5,01000,19:53,06/25/2023
+43.2,+21.5,01000,18:53,06/25/2023
+43.2,+21.5,01000,17:53,06/25/2023
+43.0,+21.5,01001,16:53,06/25/2023
+43.2,+21.4,01001,15:53,06/25/2023
+43.1,+21.4,01001,14:53,06/25/2023
+43.1,+21.4,01001,13:53,06/25/2023
+43.0,+21.4,01001,12:53,06/25/2023
+43.1,+21.4,01002,11:53,06/25/2023
+43.6,+21.4,01002,10:53,06/25/2023
+44.4,+21.4,01001,09:53,06/25/2023
+45.4,+21.5,01001,08:53,06/25/2023
+45.9,+21.4,01001,07:53,06/25/2023
+44.9,+21.5,01001,06:53,06/25/2023
+45.9,+21.5,01000,05:53,06/25/2023
+47.9,+21.5,00999,04:53,06/25/2023
+47.1,+21.5,00999,03:53,06/25/2023
+44.1,+21.5,00998,02:53,06/25/2023
+44.2,+21.7,00998,01:53,06/25/2023
+44.0,+21.7,00998,00:53,06/25/2023
+43.9,+21.6,00999,23:53,06/24/2023
+44.0,+21.6,00998,22:53,06/24/2023
+44.1,+21.6,00998,21:53,06/24/2023
+44.6,+21.6,00998,20:53,06/24/2023
+45.7,+21.6,00998,19:53,06/24/2023
+47.4,+21.5,00997,18:53,06/24/2023
+48.5,+21.4,00998,17:53,06/24/2023
+48.6,+21.5,00998,16:53,06/24/2023
+46.1,+21.7,00998,15:53,06/24/2023
+46.3,+21.5,00998,14:53,06/24/2023
+47.0,+21.6,00998,13:53,06/24/2023
+44.9,+21.7,00999,12:53,06/24/2023
+44.7,+21.6,01000,11:53,06/24/2023
+45.5,+21.6,01000,10:53,06/24/2023
+47.9,+21.6,01001,09:53,06/24/2023
+44.3,+21.7,01001,08:53,06/24/2023
+43.8,+21.6,01001,07:53,06/24/2023
+42.7,+21.6,01001,06:53,06/24/2023
+42.7,+21.6,01001,05:53,06/24/2023
+42.9,+21.7,01001,04:53,06/24/2023
+43.0,+21.6,01001,03:53,06/24/2023
+43.4,+21.7,01001,02:53,06/24/2023
+43.7,+21.6,01001,01:53,06/24/2023
+42.7,+21.7,01002,00:53,06/24/2023
+42.8,+21.7,01002,23:53,06/23/2023
+42.9,+21.6,01002,22:53,06/23/2023
+43.3,+21.7,01002,21:53,06/23/2023
+43.8,+21.6,01002,20:53,06/23/2023
+44.8,+21.6,01002,19:53,06/23/2023
+47.0,+21.4,01002,18:53,06/23/2023
+46.1,+21.5,01002,17:53,06/23/2023
+44.6,+21.6,01003,16:53,06/23/2023
+42.9,+21.5,01003,15:53,06/23/2023
+42.8,+21.5,01004,14:53,06/23/2023
+43.1,+21.5,01005,13:53,06/23/2023
+43.0,+21.5,01005,12:53,06/23/2023
+43.1,+21.5,01006,11:53,06/23/2023
+43.2,+21.4,01006,10:53,06/23/2023
+43.3,+21.4,01007,09:53,06/23/2023
+43.1,+21.4,01007,08:53,06/23/2023
+42.8,+21.4,01007,07:53,06/23/2023
+42.6,+21.4,01007,06:53,06/23/2023
+42.5,+21.4,01007,05:53,06/23/2023
+42.7,+21.4,01007,04:53,06/23/2023
+42.9,+21.5,01007,03:53,06/23/2023
+42.8,+21.4,01007,02:53,06/23/2023
+42.9,+21.5,01007,01:53,06/23/2023
+43.1,+21.5,01008,00:53,06/23/2023
+43.5,+21.6,01008,23:53,06/22/2023
+44.1,+21.6,01008,22:53,06/22/2023
+45.9,+21.5,01008,21:53,06/22/2023
+47.0,+21.5,01008,20:53,06/22/2023
+45.3,+21.5,01008,19:53,06/22/2023
+47.1,+21.4,01008,18:53,06/22/2023
+46.2,+21.7,01009,17:53,06/22/2023
+46.9,+21.8,01009,16:53,06/22/2023
+47.7,+21.7,01010,15:53,06/22/2023
+47.8,+21.8,01010,14:53,06/22/2023
+46.5,+21.8,01011,13:53,06/22/2023
+44.9,+21.8,01012,12:53,06/22/2023
+44.7,+21.9,01013,11:53,06/22/2023
+44.8,+21.8,01013,10:53,06/22/2023
+43.9,+21.7,01014,09:53,06/22/2023
+41.0,+21.8,01014,08:53,06/22/2023
+40.7,+21.7,01014,07:53,06/22/2023
+40.7,+21.5,01014,06:53,06/22/2023
+40.7,+21.5,01013,05:53,06/22/2023
+40.7,+21.7,01013,04:53,06/22/2023
+40.7,+21.7,01013,03:53,06/22/2023
+40.7,+21.8,01013,02:53,06/22/2023
+41.1,+21.6,01013,01:53,06/22/2023
+41.5,+21.8,01013,00:53,06/22/2023
+42.0,+21.7,01014,23:53,06/21/2023
+42.5,+21.7,01014,22:53,06/21/2023
+43.8,+21.6,01014,21:53,06/21/2023
+45.7,+21.7,01013,20:53,06/21/2023
+43.3,+21.8,01013,19:53,06/21/2023
+44.5,+21.6,01013,18:53,06/21/2023
+44.9,+21.7,01013,17:53,06/21/2023
+43.3,+21.6,01013,16:53,06/21/2023
+42.9,+21.6,01014,15:53,06/21/2023
+43.1,+21.7,01014,14:53,06/21/2023
+43.6,+21.7,01015,13:53,06/21/2023
+43.9,+21.7,01016,12:53,06/21/2023
+44.8,+21.6,01016,11:53,06/21/2023
+45.5,+21.8,01017,10:53,06/21/2023
+45.4,+21.7,01017,09:53,06/21/2023
+42.2,+21.8,01017,08:53,06/21/2023
+40.2,+21.9,01017,07:53,06/21/2023
+40.2,+21.8,01016,06:53,06/21/2023
+40.2,+21.8,01016,05:53,06/21/2023
+40.2,+21.8,01016,04:53,06/21/2023
+40.4,+21.8,01015,03:53,06/21/2023
+40.6,+21.7,01015,02:53,06/21/2023
+40.8,+21.7,01015,01:53,06/21/2023
+41.3,+21.7,01015,00:53,06/21/2023
+41.4,+21.7,01015,23:53,06/20/2023
+41.1,+21.7,01015,22:53,06/20/2023
+41.7,+21.7,01015,21:53,06/20/2023
+42.0,+21.7,01014,20:53,06/20/2023
+42.3,+21.7,01014,19:53,06/20/2023
+42.3,+21.7,01013,18:53,06/20/2023
+42.9,+21.7,01013,17:53,06/20/2023
+43.6,+21.5,01013,16:53,06/20/2023
+44.4,+21.6,01013,15:53,06/20/2023
+45.6,+21.8,01013,14:53,06/20/2023
+45.2,+21.7,01013,13:53,06/20/2023
+42.3,+21.9,01014,12:53,06/20/2023
+42.3,+22.0,01014,11:53,06/20/2023
+42.5,+22.0,01014,10:53,06/20/2023
+45.6,+21.9,01014,09:53,06/20/2023
+43.5,+22.1,01014,08:53,06/20/2023
+44.3,+22.3,01014,07:53,06/20/2023
+44.3,+21.9,01014,06:53,06/20/2023
+44.0,+21.8,01013,05:53,06/20/2023
+43.6,+21.7,01013,04:53,06/20/2023
+43.3,+21.6,01012,03:53,06/20/2023
+42.9,+21.6,01012,02:53,06/20/2023
+42.8,+21.5,01012,01:53,06/20/2023
+44.3,+21.4,01012,00:53,06/20/2023
+45.9,+21.4,01012,23:53,06/19/2023
+46.1,+21.4,01012,22:53,06/19/2023
+46.2,+21.3,01011,21:53,06/19/2023
+45.2,+21.3,01010,20:53,06/19/2023
+42.2,+21.2,01010,19:53,06/19/2023
+42.1,+21.6,01010,18:53,06/19/2023
+41.5,+22.0,01010,17:53,06/19/2023
+42.0,+22.2,01010,16:53,06/19/2023
+42.8,+22.2,01010,15:53,06/19/2023
+44.4,+22.4,01010,14:53,06/19/2023
+43.3,+22.4,01010,13:53,06/19/2023
+42.7,+22.3,01010,12:53,06/19/2023
+42.7,+22.2,01010,11:53,06/19/2023
+43.1,+21.9,01010,10:53,06/19/2023
+42.8,+21.7,01010,09:53,06/19/2023
+44.4,+21.4,01010,08:53,06/19/2023
+42.4,+21.0,01009,07:53,06/19/2023
+42.2,+20.7,01009,06:53,06/19/2023
+42.2,+20.7,01009,05:53,06/19/2023
+42.3,+20.7,01008,04:53,06/19/2023
+42.4,+20.7,01008,03:53,06/19/2023
+42.5,+20.8,01007,02:53,06/19/2023
+42.7,+20.8,01007,01:53,06/19/2023
+43.5,+20.8,01007,00:53,06/19/2023
+42.1,+20.8,01007,23:53,06/18/2023
+42.3,+20.8,01007,22:53,06/18/2023
+42.4,+20.8,01006,21:53,06/18/2023
+42.4,+20.9,01006,20:53,06/18/2023
+42.6,+20.9,01005,19:53,06/18/2023
+42.6,+20.9,01005,18:53,06/18/2023
+42.7,+20.9,01004,17:53,06/18/2023
+42.5,+20.9,01004,16:53,06/18/2023
+42.5,+20.9,01004,15:53,06/18/2023
+42.2,+20.9,01003,14:53,06/18/2023
+41.9,+20.9,01003,13:53,06/18/2023
+41.7,+20.9,01003,12:53,06/18/2023
+41.9,+20.9,01003,11:53,06/18/2023
+42.1,+21.0,01003,10:53,06/18/2023
+42.4,+21.0,01003,09:53,06/18/2023
+42.6,+21.0,01002,08:53,06/18/2023
+42.6,+21.0,01002,07:53,06/18/2023
+42.6,+21.0,01001,06:53,06/18/2023
+42.6,+21.0,01001,05:53,06/18/2023
+42.7,+21.0,01000,04:53,06/18/2023
+42.8,+21.0,01000,03:53,06/18/2023
+42.9,+21.0,01000,02:53,06/18/2023
+42.8,+21.0,01000,01:53,06/18/2023
+43.0,+21.0,01000,00:53,06/18/2023
+43.1,+21.0,01000,23:53,06/17/2023
+43.0,+21.0,01000,22:53,06/17/2023
+42.8,+21.0,00999,21:53,06/17/2023
+42.7,+21.0,00999,20:53,06/17/2023
+42.5,+21.0,00998,19:53,06/17/2023
+42.4,+21.0,00997,18:53,06/17/2023
+42.2,+21.0,00997,17:53,06/17/2023
+42.3,+21.0,00997,16:53,06/17/2023
+42.4,+21.0,00996,15:53,06/17/2023
+42.5,+21.0,00996,14:53,06/17/2023
+43.1,+21.1,00996,13:53,06/17/2023
+45.2,+21.1,00996,12:53,06/17/2023
+43.0,+21.0,00996,11:53,06/17/2023
+44.0,+21.0,00996,10:53,06/17/2023
+48.1,+20.9,00996,09:53,06/17/2023
+44.7,+20.8,00996,08:53,06/17/2023
+45.4,+20.8,00996,07:53,06/17/2023
+43.8,+20.7,00996,06:53,06/17/2023
+46.2,+20.8,00996,05:53,06/17/2023
+46.1,+20.8,00995,04:53,06/17/2023
+45.4,+20.8,00995,03:53,06/17/2023
+43.7,+20.8,00995,02:53,06/17/2023
+46.0,+20.8,00996,01:53,06/17/2023
+44.4,+20.8,00996,00:53,06/17/2023
+45.4,+20.9,00997,23:53,06/16/2023
+43.6,+20.8,00997,22:53,06/16/2023
+44.0,+20.8,00997,21:53,06/16/2023
+44.6,+20.9,00996,20:53,06/16/2023
+47.9,+20.9,00996,19:53,06/16/2023
+45.0,+21.1,00996,18:53,06/16/2023
+48.3,+21.2,00996,17:53,06/16/2023
+47.3,+21.3,00995,16:53,06/16/2023
+47.4,+21.5,00995,15:53,06/16/2023
+46.3,+21.6,00995,14:53,06/16/2023
+47.8,+21.5,00996,13:53,06/16/2023
+48.0,+21.3,00996,12:53,06/16/2023
+45.9,+21.3,00997,11:53,06/16/2023
+42.9,+21.1,00997,10:53,06/16/2023
+43.3,+20.8,00997,09:53,06/16/2023
+43.4,+20.8,00997,08:53,06/16/2023
+43.5,+20.8,00996,07:53,06/16/2023
+42.8,+20.8,00996,06:53,06/16/2023
+42.8,+20.8,00995,05:53,06/16/2023
+42.8,+20.8,00995,04:53,06/16/2023
+42.9,+20.8,00995,03:53,06/16/2023
+43.0,+20.8,00995,02:53,06/16/2023
+43.2,+20.8,00995,01:53,06/16/2023
+43.4,+20.8,00995,00:53,06/16/2023
+43.8,+20.9,00995,23:53,06/15/2023
+44.3,+20.9,00994,22:53,06/15/2023
+46.1,+20.9,00994,21:53,06/15/2023
+46.5,+20.9,00993,20:53,06/15/2023
+49.3,+21.0,00993,19:53,06/15/2023
+47.7,+21.1,00992,18:53,06/15/2023
+46.8,+21.5,00991,17:53,06/15/2023
+47.1,+21.7,00991,16:53,06/15/2023
+45.8,+21.5,00991,15:53,06/15/2023
+46.8,+21.6,00991,14:53,06/15/2023
+46.1,+21.5,00991,13:53,06/15/2023
+46.4,+21.3,00990,12:53,06/15/2023
+45.7,+21.3,00990,11:53,06/15/2023
+45.7,+21.1,00990,10:53,06/15/2023
+43.3,+20.8,00990,09:53,06/15/2023
+43.0,+20.8,00990,08:53,06/15/2023
+42.4,+20.7,00990,07:53,06/15/2023
+42.0,+20.7,00989,06:53,06/15/2023
+41.8,+20.7,00989,05:53,06/15/2023
+41.8,+20.7,00988,04:53,06/15/2023
+42.1,+20.7,00988,03:53,06/15/2023
+42.8,+20.8,00989,02:53,06/15/2023
+43.2,+20.8,00988,01:53,06/15/2023
+43.5,+20.8,00989,00:53,06/15/2023
+44.2,+20.7,00989,23:53,06/14/2023
+45.0,+20.7,00989,22:53,06/14/2023
+46.9,+20.8,00989,21:53,06/14/2023
+45.8,+20.8,00989,20:53,06/14/2023
+45.9,+21.0,00989,19:53,06/14/2023
+45.4,+21.1,00989,18:53,06/14/2023
+44.3,+21.6,00989,17:53,06/14/2023
+45.2,+21.6,00989,16:53,06/14/2023
+44.0,+21.5,00989,15:53,06/14/2023
+44.8,+21.5,00990,14:53,06/14/2023
+45.7,+21.3,00990,13:53,06/14/2023
+44.8,+21.4,00990,12:53,06/14/2023
+43.2,+21.3,00991,11:53,06/14/2023
+45.4,+20.9,00991,10:53,06/14/2023
+46.0,+20.9,00992,09:53,06/14/2023
+42.1,+20.9,00993,08:53,06/14/2023
+41.3,+21.1,00993,07:53,06/14/2023
+41.5,+21.1,00993,06:53,06/14/2023
+42.4,+21.2,00993,05:53,06/14/2023
+44.8,+21.3,00993,04:53,06/14/2023
+42.1,+20.7,00993,03:53,06/14/2023
+42.3,+20.8,00994,02:53,06/14/2023
+42.5,+20.8,00993,01:53,06/14/2023
+42.8,+20.8,00994,00:53,06/14/2023
+43.1,+20.9,00995,23:53,06/13/2023
+43.5,+20.9,00995,22:53,06/13/2023
+44.5,+21.0,00995,21:53,06/13/2023
