
ID:,DF674856DB9C3826
Unit of Measure: Temperature: Celsius; Humidity: %RH; Pressure: mbar
Date Format: MM/DD/YYYY
Recorded Data:
CH1 (%),CH2 (C),CH3 (mb),Time,Date
+14.7,+22.8,01019,14:24,01/26/2022
+14.3,+22.8,01019,13:24,01/26/2022
+13.6,+22.9,01020,12:24,01/26/2022
+13.7,+22.9,01020,11:24,01/26/2022
+13.6,+23.1,01020,10:24,01/26/2022
+13.4,+23.1,01020,09:24,01/26/2022
+13.2,+23.0,01019,08:24,01/26/2022
+13.3,+23.1,01018,07:24,01/26/2022
+13.4,+23.2,01016,06:24,01/26/2022
+13.7,+23.1,01016,05:24,01/26/2022
+14.0,+23.0,01015,04:24,01/26/2022
+14.3,+23.0,01014,03:24,01/26/2022
+14.6,+23.1,01013,02:24,01/26/2022
+14.9,+22.9,01012,01:24,01/26/2022
+15.3,+22.9,01012,00:24,01/26/2022
+15.5,+22.9,01012,23:24,01/25/2022
+15.6,+22.9,01011,22:24,01/25/2022
+15.6,+23.1,01010,21:24,01/25/2022
+15.7,+23.0,01009,20:24,01/25/2022
+15.9,+22.8,01009,19:24,01/25/2022
+15.9,+22.9,01008,18:24,01/25/2022
+16.1,+22.8,01007,17:24,01/25/2022
+15.8,+23.1,01005,16:24,01/25/2022
+15.5,+23.0,01004,15:24,01/25/2022
+15.2,+22.9,01003,14:24,01/25/2022
+14.8,+22.8,01002,13:24,01/25/2022
+14.3,+23.1,01002,12:24,01/25/2022
+14.0,+23.0,01002,11:24,01/25/2022
+13.3,+22.9,01002,10:24,01/25/2022
+12.8,+23.1,01002,09:24,01/25/2022
+12.6,+22.8,01001,08:24,01/25/2022
+12.3,+23.0,01001,07:24,01/25/2022
+12.5,+22.8,01000,06:24,01/25/2022
+12.4,+23.1,01000,05:24,01/25/2022
+12.8,+22.5,00999,04:24,01/25/2022
+12.7,+23.0,00999,03:24,01/25/2022
+12.6,+23.2,01000,02:24,01/25/2022
+13.0,+22.6,00999,01:24,01/25/2022
+12.9,+23.0,01000,00:24,01/25/2022
+12.9,+22.9,01000,23:24,01/24/2022
+13.2,+22.7,01001,22:24,01/24/2022
+13.1,+23.0,01001,21:24,01/24/2022
+13.0,+23.1,01001,20:24,01/24/2022
+13.1,+23.1,01001,19:24,01/24/2022
+13.3,+23.0,01002,18:24,01/24/2022
+13.6,+22.7,01001,17:24,01/24/2022
+13.4,+22.8,01001,16:24,01/24/2022
+13.2,+23.0,01002,15:24,01/24/2022
+13.1,+22.9,01002,14:24,01/24/2022
+12.8,+22.9,01002,13:24,01/24/2022
+12.6,+22.9,01003,12:24,01/24/2022
+12.3,+23.2,01004,11:24,01/24/2022
+12.4,+23.1,01004,10:24,01/24/2022
+12.7,+23.0,01004,09:24,01/24/2022
+14.1,+23.0,01004,08:24,01/24/2022
+11.3,+22.6,01003,07:24,01/24/2022
+10.6,+22.8,01003,06:24,01/24/2022
+10.8,+22.8,01003,05:24,01/24/2022
+10.8,+22.8,01003,04:24,01/24/2022
+11.0,+22.8,01002,03:24,01/24/2022
+11.1,+22.7,01002,02:24,01/24/2022
+11.1,+22.8,01001,01:24,01/24/2022
+11.3,+22.8,01002,00:24,01/24/2022
+11.4,+22.6,01001,23:24,01/23/2022
+11.6,+22.7,01001,22:24,01/23/2022
+11.7,+22.7,01001,21:24,01/23/2022
+11.9,+22.8,01000,20:24,01/23/2022
+12.1,+22.7,01000,19:24,01/23/2022
+12.2,+22.8,00999,18:24,01/23/2022
+12.5,+22.7,00999,17:24,01/23/2022
+12.6,+22.7,00998,16:24,01/23/2022
+12.5,+22.8,00997,15:24,01/23/2022
+12.5,+22.7,00997,14:24,01/23/2022
+12.4,+22.7,00997,13:24,01/23/2022
+12.1,+22.8,00997,12:24,01/23/2022
+12.0,+22.7,00997,11:24,01/23/2022
+11.7,+22.7,00998,10:24,01/23/2022
+11.5,+22.8,00998,09:24,01/23/2022
+11.3,+22.8,00998,08:24,01/23/2022
+11.3,+22.8,00997,07:24,01/23/2022
+11.2,+22.7,00997,06:24,01/23/2022
+11.1,+22.9,00997,05:24,01/23/2022
+11.2,+22.7,00997,04:24,01/23/2022
+11.1,+22.7,00998,03:24,01/23/2022
+11.1,+22.7,00999,02:24,01/23/2022
+11.2,+22.7,00999,01:24,01/23/2022
+11.1,+22.8,01000,00:24,01/23/2022
+11.2,+22.8,01001,23:24,01/22/2022
+11.3,+22.7,01002,22:24,01/22/2022
+11.4,+22.7,01003,21:24,01/22/2022
+11.6,+22.8,01004,20:24,01/22/2022
+11.7,+22.7,01005,19:24,01/22/2022
+11.9,+22.8,01007,18:24,01/22/2022
+12.0,+22.7,01009,17:24,01/22/2022
+12.2,+22.9,01011,16:24,01/22/2022
+12.4,+22.7,01012,15:24,01/22/2022
+12.4,+22.9,01013,14:24,01/22/2022
+12.5,+22.9,01015,13:24,01/22/2022
+12.5,+22.9,01017,12:24,01/22/2022
+12.7,+22.8,01018,11:24,01/22/2022
+12.9,+22.7,01020,10:24,01/22/2022
+13.2,+22.8,01020,09:24,01/22/2022
+13.2,+22.7,01021,08:24,01/22/2022
+12.8,+22.8,01021,07:24,01/22/2022
+12.4,+22.7,01022,06:24,01/22/2022
+12.6,+22.7,01023,05:24,01/22/2022
+12.7,+22.7,01023,04:24,01/22/2022
+12.8,+22.7,01024,03:24,01/22/2022
+13.0,+22.8,01024,02:24,01/22/2022
+13.2,+22.7,01025,01:24,01/22/2022
+13.4,+22.7,01026,00:24,01/22/2022
+13.4,+22.9,01026,23:24,01/21/2022
+13.6,+22.8,01027,22:24,01/21/2022
+13.7,+22.8,01027,21:24,01/21/2022
+14.0,+22.7,01027,20:24,01/21/2022
+14.2,+22.9,01028,19:24,01/21/2022
+14.7,+22.7,01028,18:24,01/21/2022
+15.1,+22.4,01028,17:24,01/21/2022
+15.2,+22.5,01028,16:24,01/21/2022
+15.0,+22.7,01028,15:24,01/21/2022
+15.2,+22.7,01028,14:24,01/21/2022
+14.5,+22.7,01028,13:24,01/21/2022
+14.3,+22.6,01028,12:24,01/21/2022
+14.4,+22.7,01029,11:24,01/21/2022
+13.6,+22.7,01029,10:24,01/21/2022
+13.3,+22.9,01028,09:24,01/21/2022
+13.3,+22.9,01028,08:24,01/21/2022
+13.2,+22.8,01028,07:24,01/21/2022
+13.4,+22.7,01027,06:24,01/21/2022
+13.6,+22.7,01025,05:24,01/21/2022
+13.8,+22.8,01025,04:24,01/21/2022
+14.0,+22.8,01025,03:24,01/21/2022
+14.3,+22.7,01025,02:24,01/21/2022
+14.5,+22.7,01024,01:24,01/21/2022
+14.8,+22.7,01024,00:24,01/21/2022
+15.0,+22.7,01023,23:24,01/20/2022
+15.2,+22.8,01023,22:24,01/20/2022
+15.4,+22.7,01022,21:24,01/20/2022
+15.6,+22.7,01021,20:24,01/20/2022
