Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:24:43 a.m.
Durée (s) : 	12.445896
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
0.092880	-34.60	-23.29	-11.63	2.68	9.32	9.49	7.02	8.61	9.70	12.27	19.45	24.79	24.06	23.88	34.88	36.02	38.68	33.46	39.62	41.01	42.15	41.70	34.27	37.58	33.45	38.05	41.01	35.90	29.38	50.21
0.185760	-27.50	-18.17	-7.74	5.20	13.69	9.26	6.69	10.16	18.78	18.04	22.50	25.40	25.95	26.11	36.56	37.49	38.95	35.98	41.03	43.81	43.56	42.96	36.70	38.20	35.41	37.70	42.07	37.33	30.15	51.64
0.278639	-28.10	-19.38	-7.29	6.08	15.75	7.34	5.50	11.54	18.63	19.53	21.09	24.25	25.19	26.39	35.97	37.02	40.41	36.42	42.31	43.92	43.21	43.17	36.97	39.44	36.19	37.23	42.76	37.92	30.62	52.00
0.371519	-18.96	-15.54	-9.12	6.24	15.88	5.80	8.94	12.79	20.98	18.45	20.60	25.93	27.51	25.39	35.73	37.24	41.01	36.70	41.34	43.68	43.35	43.09	36.95	39.80	36.56	37.29	42.90	38.09	30.94	52.00
0.464399	-18.13	-15.76	-9.13	7.29	16.76	4.32	9.88	14.07	18.93	18.37	21.93	25.97	26.51	25.56	36.60	37.01	40.49	37.17	41.87	43.85	43.38	42.27	37.96	39.44	37.18	37.50	43.12	38.41	31.25	52.06
0.557279	-20.32	-15.10	-8.34	7.02	17.38	4.62	11.43	14.45	19.97	19.72	21.67	25.31	27.51	26.15	37.22	37.09	41.70	37.95	42.39	43.74	42.98	42.03	38.28	38.65	36.94	37.76	43.02	38.84	31.23	52.15
0.650159	-21.64	-16.02	-3.14	8.43	17.75	4.13	9.52	13.12	18.80	19.12	22.82	26.47	27.52	27.03	36.06	37.43	41.31	37.77	42.49	43.30	42.77	42.34	38.30	39.16	36.74	37.75	43.19	39.04	31.07	52.10
0.743039	-18.15	-16.43	-2.31	8.98	18.25	3.92	7.84	13.42	17.87	17.65	21.70	26.32	27.42	27.07	34.94	37.64	41.15	36.84	43.24	45.31	42.98	42.57	38.07	40.47	35.88	37.62	43.14	38.41	31.21	52.50
0.835918	-19.64	-16.40	-2.58	9.29	18.46	3.79	10.57	14.05	20.07	19.26	22.59	25.04	26.85	26.79	36.86	39.18	41.31	36.46	42.97	45.05	42.90	43.83	38.07	40.84	35.60	38.12	43.23	38.80	31.27	52.72
0.928798	-21.62	-16.10	-4.81	9.28	18.57	4.72	12.01	12.20	20.05	18.36	22.59	25.36	26.14	27.07	37.01	38.12	41.56	36.31	43.15	44.03	43.50	43.47	38.33	40.14	35.92	38.49	43.98	39.36	31.33	52.68
1.021678	-21.43	-15.23	-6.02	9.15	18.17	7.22	11.00	13.07	19.77	18.51	22.91	26.81	26.88	27.97	36.91	37.12	41.22	36.83	43.62	43.87	44.20	43.34	38.35	39.50	36.21	38.30	44.01	39.48	31.42	52.73
1.114558	-21.57	-15.96	-3.31	8.87	18.11	6.79	11.11	13.05	17.67	17.37	23.84	26.24	25.77	27.03	35.84	37.35	41.37	36.79	43.47	44.02	43.77	43.41	38.53	39.53	35.73	38.50	44.21	39.34	31.17	52.69
1.207438	-23.55	-15.58	-4.93	8.30	17.28	7.29	10.68	11.80	16.36	18.07	23.43	28.62	26.55	27.68	36.57	37.90	41.18	36.93	42.95	43.18	43.63	43.34	38.41	39.20	36.46	38.26	43.70	39.27	31.21	52.45
1.300317	-21.70	-13.77	-5.11	7.55	17.41	7.81	10.89	12.47	17.34	17.75	23.44	27.55	27.16	27.29	35.73	37.23	43.22	36.52	42.89	42.84	43.82	43.54	38.38	38.89	36.55	38.59	43.65	39.52	31.60	52.60
1.393197	-20.89	-12.29	-5.97	5.35	15.41	9.15	10.35	11.06	16.68	18.62	24.16	28.23	27.29	27.15	37.04	37.69	42.98	37.02	43.26	43.17	44.05	43.77	38.46	39.21	36.99	38.49	43.62	39.36	31.88	52.78
1.486077	-21.88	-12.50	-4.31	6.43	16.93	8.02	10.45	12.12	15.65	19.78	24.71	28.64	27.00	26.85	36.29	37.67	41.87	36.84	42.67	42.80	44.56	43.96	38.21	38.80	37.30	38.57	43.62	39.26	31.57	52.63
1.578957	-20.34	-10.67	-3.77	6.95	16.33	6.42	8.60	10.37	17.39	18.65	24.18	29.68	26.47	27.59	36.32	37.33	41.87	37.34	43.51	43.54	44.39	44.36	38.18	38.44	36.92	38.64	43.78	39.44	31.58	52.85
1.671837	-21.37	-11.91	-4.84	8.21	16.65	4.80	7.62	12.24	18.55	18.79	23.66	28.84	26.77	27.98	35.53	37.33	41.93	37.28	42.54	42.61	43.93	44.08	38.98	38.32	36.99	38.36	43.85	39.19	31.84	52.54
1.764717	-20.13	-12.72	-5.31	8.24	17.58	4.40	8.09	12.89	18.40	19.15	23.45	27.69	26.25	27.70	35.67	38.09	42.18	36.99	43.68	43.15	43.94	43.66	38.50	38.58	36.73	38.32	43.57	38.96	31.87	52.64
1.857596	-15.95	-11.29	-4.69	9.56	18.32	6.94	11.98	11.87	16.91	19.83	21.92	27.60	26.18	27.01	35.89	38.64	41.93	37.51	43.51	42.25	44.29	44.30	38.99	38.16	36.47	38.35	43.50	38.91	31.88	52.67
