Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:27:43 a.m.
Durée (s) : 	15.046531
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
0.092880	-30.74	-19.45	-11.77	-8.28	0.17	5.52	10.81	4.64	13.90	16.09	17.70	21.86	25.56	33.47	43.32	42.98	47.63	44.42	43.32	39.37	41.95	40.98	40.69	45.36	32.25	38.49	40.76	34.95	32.46	54.15
0.185760	-23.24	-16.52	-6.35	-6.06	2.34	9.29	11.89	11.98	13.62	17.63	19.50	21.82	28.41	34.22	45.04	43.96	48.60	45.25	45.40	41.53	43.51	43.11	42.27	47.47	33.86	40.16	42.89	36.83	33.82	55.69
0.278639	-20.53	-6.72	-3.78	-2.65	3.45	9.63	11.57	12.12	14.37	16.88	21.78	24.77	28.88	38.02	47.37	44.28	48.30	45.98	45.77	42.65	44.33	43.73	43.07	48.73	34.86	40.60	43.43	37.63	34.62	56.47
0.371519	-20.97	-6.93	-2.77	-2.13	5.89	8.68	11.04	12.29	13.52	15.30	21.17	24.08	27.60	38.78	47.54	44.76	49.00	46.57	45.85	43.29	44.69	44.55	43.31	48.86	35.31	41.49	43.65	37.62	34.91	56.86
0.464399	-22.64	-8.25	-4.14	-3.92	2.99	7.44	12.15	11.25	13.58	16.25	19.65	22.47	28.43	39.09	47.83	44.78	48.60	46.58	45.33	44.34	44.44	44.12	43.49	48.84	35.55	41.35	43.83	37.64	35.17	56.83
0.557279	-18.18	-4.85	-2.90	-4.77	2.09	8.29	14.22	13.04	17.68	17.66	19.76	23.06	29.13	37.26	47.26	45.07	48.03	45.61	44.82	43.62	44.50	44.11	43.69	49.26	35.43	41.02	43.73	37.68	35.30	56.59
0.650159	-15.37	-4.23	-4.08	-6.17	1.41	10.53	13.07	12.49	16.75	17.32	21.43	23.51	29.10	37.45	47.10	45.26	47.72	46.19	44.94	43.05	44.84	44.15	43.43	48.95	35.87	40.93	43.67	37.77	35.44	56.53
0.743039	-16.87	-4.23	-5.43	-1.72	2.24	8.98	13.40	13.33	16.62	18.13	21.54	24.24	28.43	36.94	48.03	44.77	46.86	45.56	44.68	43.00	44.67	43.79	43.26	49.39	36.21	41.08	43.97	37.60	35.33	56.49
0.835918	-15.33	-3.99	-5.39	1.63	7.11	8.38	14.18	13.34	17.26	18.21	20.97	25.04	27.91	38.35	48.87	44.00	46.22	44.33	47.41	43.62	44.34	43.66	43.84	49.59	36.25	41.24	43.80	37.56	35.31	56.75
0.928798	-14.49	-3.83	-2.59	4.52	10.90	7.52	15.30	12.32	15.56	17.27	21.13	25.76	27.99	37.50	47.82	44.63	46.75	44.04	47.02	43.52	43.98	44.13	43.73	49.48	36.32	40.89	43.36	37.84	35.24	56.56
1.021678	-13.34	-5.08	-1.52	3.57	10.86	5.99	13.36	11.66	14.18	16.15	20.70	24.56	27.73	37.41	47.61	44.18	47.40	45.58	46.58	43.27	44.10	44.36	43.86	49.30	36.66	41.71	43.52	37.67	35.19	56.65
1.114558	-10.80	-3.93	-2.82	2.25	10.87	6.53	16.41	11.12	12.71	18.37	20.21	24.10	28.10	39.76	47.97	43.38	46.79	44.49	45.55	43.67	44.02	44.46	43.97	49.61	36.94	41.46	43.59	37.82	35.10	56.54
1.207438	-11.46	-3.68	-3.63	1.25	9.11	6.21	15.64	13.54	13.09	19.01	20.23	23.13	27.06	39.60	48.16	44.12	48.28	45.70	45.10	43.89	45.00	44.54	44.09	49.80	36.82	41.97	43.61	37.87	34.84	56.96
1.300317	-13.80	-5.82	-1.53	0.67	8.88	6.43	14.11	11.43	14.02	19.73	22.41	24.42	27.97	40.25	47.41	43.97	47.89	45.11	45.19	43.35	45.36	43.83	43.97	49.66	36.35	42.25	43.81	37.82	35.33	56.73
1.393197	-13.63	-3.77	-3.38	0.77	6.53	5.83	12.76	11.88	13.73	17.66	20.68	24.51	27.39	40.39	49.45	44.46	47.95	45.17	45.31	44.61	45.29	44.32	43.96	49.13	36.06	41.85	43.89	37.68	35.17	57.05
1.486077	-13.40	-4.81	-5.22	-0.65	6.85	6.77	11.98	12.20	16.03	17.32	19.79	24.37	27.75	39.54	48.73	44.58	47.57	45.47	46.74	44.66	44.77	44.03	44.13	49.74	36.05	41.37	43.88	37.74	35.01	57.07
1.578957	-11.70	-3.00	-5.61	1.41	5.88	5.90	15.54	13.80	15.59	19.41	19.29	25.69	27.17	39.67	49.37	44.87	47.68	45.59	46.15	44.57	44.52	43.84	43.50	49.76	36.07	41.31	43.81	37.46	35.02	57.09
1.671837	-10.54	-4.35	-6.69	2.03	9.98	8.63	14.56	13.95	15.01	22.86	20.06	24.74	26.55	40.24	48.08	44.16	47.53	45.61	45.49	43.78	44.08	43.50	43.49	49.64	36.28	41.48	43.57	37.43	35.36	56.69
1.764717	-11.32	-3.33	-5.64	0.35	7.45	9.53	16.72	14.15	15.70	21.24	21.62	26.25	27.90	40.09	48.46	43.15	47.99	46.32	45.26	43.94	45.48	44.27	44.47	50.55	36.20	41.46	43.57	37.65	35.36	57.16
1.857596	-8.31	-3.87	-5.91	-2.07	6.74	9.95	15.14	13.41	15.25	19.44	21.71	25.60	27.90	39.20	48.12	43.45	48.45	46.36	45.19	44.61	45.33	44.15	44.15	49.98	36.08	41.32	43.74	37.84	35.22	57.06
1.950476	-10.05	-2.67	-5.36	-0.85	6.59	8.40	15.89	14.82	14.96	17.93	22.64	24.84	27.51	39.75	47.71	42.92	47.40	45.57	44.95	44.03	45.55	44.37	43.84	49.85	35.89	41.03	43.58	37.73	35.24	56.72
2.043356	-9.00	-3.58	-5.03	0.99	7.13	9.08	14.41	13.96	14.12	19.64	22.46	24.09	27.55	38.66	46.53	41.85	47.40	45.45	46.00	43.97	44.88	44.04	43.59	49.48	35.99	41.18	43.89	37.69	35.22	56.46
2.136236	-9.31	-1.55	-6.83	0.69	9.19	7.49	15.02	16.73	16.52	18.08	20.86	23.15	26.81	39.96	46.23	41.66	47.37	45.10	46.73	43.92	44.84	43.85	43.69	49.28	35.74	41.09	44.13	37.77	35.39	56.44
2.229116	-9.48	-1.08	-6.88	0.55	7.79	8.39	15.91	16.83	15.78	18.52	21.66	24.35	26.98	39.00	46.21	41.87	47.43	44.85	45.39	43.83	44.49	44.00	43.61	49.63	35.90	40.92	44.03	38.03	35.48	56.34
2.321995	-7.47	-2.00	-4.80	2.08	8.21	8.77	14.01	15.51	14.61	18.17	20.76	23.75	27.36	40.36	46.69	43.62	47.10	45.04	45.87	43.81	44.84	44.27	43.91	49.71	35.96	41.03	44.11	38.08	35.24	56.58
2.414875	-8.33	-1.34	-5.90	1.33	8.69	7.82	13.28	13.85	16.35	17.40	20.11	25.10	27.15	39.40	46.82	43.75	46.38	44.81	45.61	44.16	44.49	44.66	43.87	49.41	35.75	41.06	43.88	37.78	35.42	56.41
2.507755	-9.26	-3.15	-5.45	0.28	6.86	8.61	14.17	11.84	15.84	16.12	20.09	25.49	26.95	39.55	46.77	42.71	47.11	45.74	46.39	44.11	44.83	43.89	43.38	49.37	35.75	41.36	44.05	37.78	35.22	56.53
2.600635	-8.58	-1.58	-5.44	0.35	8.95	6.67	14.14	11.57	13.44	15.41	20.50	25.06	28.05	39.58	46.79	43.60	47.46	45.53	46.96	43.95	45.02	43.86	43.24	49.00	35.63	41.18	43.97	37.87	35.18	56.58
2.693515	-9.24	-2.49	-4.95	0.37	9.31	7.00	11.95	12.53	14.05	17.21	20.43	24.96	27.48	38.86	47.96	43.02	48.22	45.49	45.92	43.79	44.34	43.47	43.33	48.89	35.74	40.99	43.84	37.86	35.22	56.57
2.786395	-10.48	-1.54	-5.11	0.20	8.45	5.85	12.56	13.94	14.38	17.46	20.24	23.96	26.56	38.97	47.04	45.14	47.61	45.51	47.01	43.81	45.23	43.99	43.76	49.45	36.01	41.36	43.93	37.82	35.20	56.83
2.879274	-10.21	-2.83	-2.13	2.59	9.24	9.88	15.15	13.63	13.99	17.48	20.21	25.65	25.57	39.52	48.10	44.51	47.74	45.90	46.72	44.57	44.97	44.21	43.63	49.30	36.05	41.24	43.58	37.79	35.55	56.92
2.972154	-9.29	-2.10	-2.96	0.83	8.67	8.77	13.57	13.12	14.38	19.54	20.67	25.96	27.76	39.90	49.93	43.23	46.48	45.21	46.65	43.88	44.73	43.95	44.10	49.75	36.24	41.27	43.75	37.77	35.26	57.03
3.065034	-8.66	-0.18	-5.29	1.49	7.58	8.11	15.27	14.19	14.67	18.12	21.09	25.29	28.48	38.86	48.49	43.48	47.76	45.83	46.07	44.12	44.52	44.46	44.01	49.63	35.87	41.30	43.57	37.68	35.32	56.89
3.157914	-8.76	-1.78	-6.05	0.93	6.65	10.41	14.41	12.75	15.69	17.45	20.54	25.35	27.00	38.19	47.77	42.86	47.80	46.66	45.87	43.86	45.34	44.59	43.99	49.15	35.78	41.32	43.47	37.63	35.51	56.77
