Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:53:15 a.m.
Durée (s) : 	12.260136
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
0.092880	-35.80	-30.55	-23.56	-4.66	3.40	-4.19	5.17	8.00	13.70	19.18	20.72	26.09	26.33	26.72	35.19	36.13	36.77	35.59	42.01	42.61	40.24	38.99	35.64	38.76	38.67	41.19	44.65	36.97	33.68	51.40
0.185760	-17.54	-6.91	2.16	9.08	10.78	8.64	8.69	14.40	20.02	22.84	25.97	29.51	27.68	32.15	36.74	37.70	40.30	38.41	44.99	45.22	43.93	42.86	41.01	41.23	43.49	44.28	46.99	39.36	36.38	54.46
0.278639	-13.78	-0.38	5.97	13.50	11.93	13.04	11.85	18.34	22.29	23.67	25.33	28.63	29.97	32.26	38.08	38.68	39.69	38.83	45.87	45.77	43.89	42.57	40.12	40.64	42.54	43.73	47.21	39.50	36.79	54.53
0.371519	-14.71	-2.42	3.97	10.70	10.38	11.98	11.44	16.00	21.01	21.97	24.48	27.73	29.13	31.25	39.57	39.15	39.72	38.84	45.17	44.84	43.57	42.72	39.85	40.43	41.99	43.87	47.70	39.29	36.93	54.41
0.464399	-14.65	-5.51	1.75	8.19	8.01	10.72	10.24	14.05	21.05	21.02	23.04	27.85	29.32	31.17	38.95	38.11	39.73	39.30	44.63	45.05	43.75	42.11	39.51	40.19	42.04	44.20	47.79	39.27	37.05	54.34
0.557279	-16.29	-6.31	-0.39	5.40	8.18	9.38	8.33	13.91	20.86	21.04	22.96	27.22	29.22	32.55	38.82	37.91	39.96	38.48	44.67	45.13	44.02	42.48	39.20	40.21	41.80	44.49	47.59	38.99	36.98	54.34
0.650159	-16.17	-7.91	-1.93	4.39	8.10	8.79	7.92	13.04	19.31	21.59	22.35	28.24	30.22	31.89	40.26	38.72	39.74	38.76	44.78	45.39	43.89	42.46	39.27	39.98	41.88	44.68	47.83	38.83	36.89	54.50
0.743039	-18.07	-7.24	-3.97	3.37	10.00	8.59	10.57	14.27	17.00	19.91	23.26	28.53	31.48	32.44	39.23	38.18	39.54	39.86	44.54	44.60	43.72	42.55	39.65	39.27	42.03	44.22	47.87	38.86	36.88	54.32
0.835918	-17.55	-6.52	-0.67	5.71	10.55	7.24	11.38	17.18	16.10	19.67	22.39	28.75	30.68	32.88	39.23	38.09	38.52	39.28	44.84	44.73	44.06	42.04	39.60	39.41	41.56	44.52	48.25	38.96	36.68	54.41
0.928798	-19.31	-5.32	-2.68	4.14	12.07	6.93	10.89	15.15	17.38	21.03	22.99	27.51	29.89	32.94	40.51	38.77	39.81	39.66	44.79	44.92	44.41	43.23	40.60	40.15	41.24	44.80	48.42	39.53	36.66	54.77
