time_ms,target_heater_C,target_camera_C,preheating_state,heater_C,software_hi_pwr_on,software_hi_pwr_off,software_lo_pwr_on,software_lo_pwr_off,cam0_C,cam1_C,cam2_C,cam3_C,board_C,uvProj_C,fpga_C,outputHi
 2022-03-30 10:45:20,40,40,Started,42.7,2500000,0,0,0,36.5,36.9,37.1,36.5,44.3,32.5,0,1e+05
 2022-03-30 10:45:23,40,40,Started,43.4,2500000,0,0,0,37.1,37.5,37.7,37.2,44.6,32.9,0,1e+05
 2022-03-30 10:45:25,40,40,Started,44.1,2500000,0,0,0,37.8,38.1,38.3,37.8,44.9,33.4,0,1e+05
 2022-03-30 10:45:28,40,40,Started,44.7,1666650,833350,0,0,38.3,38.6,38.9,38.3,45.1,33.9,0,1e+05
 2022-03-30 10:45:30,40,40,Started,44.3,1111100,1388900,0,0,38.9,39.2,39.4,38.9,45.3,34.3,0,1e+05
 2022-03-30 10:45:33,40,40,Ready,43.1,740725,1759275,0,0,39.3,39.7,39.9,39.4,45.5,34.6,0,6.29e+04
 2022-03-30 10:46:58,40,40,Ready,43.2,1142200,1357800,0,0,39.8,40.1,40.4,39.9,47,36.5,0,0
 2022-03-30 10:47:01,40,40,Ready,42.6,761450,1738550,0,0,40.3,40.6,40.9,40.4,47.2,36.8,0,0
 2022-03-30 10:47:03,40,40,Ready,41.5,507625,1992375,0,0,40.7,41.1,41.3,40.8,47.3,37,0,0
 2022-03-30 10:47:06,40,40,Ready,40.4,338400,2161600,0,0,41.1,41.4,41.6,41.2,47.4,37.2,0,0
 2022-03-30 10:47:08,40,40,Ready,39.4,225600,2274400,0,0,41.4,41.8,41.9,41.5,47.5,37.3,0,0
 2022-03-30 10:47:11,40,40,Ready,38.5,150400,2349600,0,0,41.6,42,42.1,41.8,47.6,37.5,0,0
 2022-03-30 10:48:08,40,40,Ready,42.3,1111100,1388900,0,0,42,42.3,42.5,42.1,49.9,38.5,0,0
 2022-03-30 10:48:10,40,40,Ready,42,740725,1759275,0,0,42.3,42.7,42.9,42.4,50,38.7,0,0
 2022-03-30 10:48:13,40,40,Ready,41.3,493800,2006200,0,0,42.6,42.9,43.1,42.7,50,38.9,0,0
 2022-03-30 10:48:15,40,40,Ready,40.5,329200,2170800,0,0,42.9,43.3,43.5,43.1,50.1,39,0,0
 2022-03-30 10:48:18,40,40,Ready,39.7,219450,2280550,0,0,43.1,43.5,43.6,43.3,50.2,39.1,0,0
 2022-03-30 11:59:14,40,40,Started,42.6,2500000,0,0,0,37.6,37.9,38.2,37.6,45.5,34.3,0,1e+05
 2022-03-30 11:59:16,40,40,Started,43.5,2500000,0,0,0,38.2,38.5,38.7,38.2,45.8,34.7,0,1e+05
 2022-03-30 11:59:19,40,40,Started,44.3,2500000,0,0,0,38.8,39.1,39.3,38.8,46.1,35.1,0,1e+05
 2022-03-30 11:59:22,40,40,Ready,45,1666650,833350,0,0,39.4,39.7,39.9,39.4,46.3,35.5,0,2.1e+04
 2022-03-30 11:59:24,40,40,Ready,44.7,1111100,1388900,0,0,39.9,40.3,40.5,40,46.5,35.9,0,0
 2022-03-30 11:59:27,40,40,Ready,43.7,740725,1759275,0,0,40.4,40.8,41,40.5,46.7,36.2,0,0
 2022-03-30 11:59:29,40,40,Ready,42.5,493800,2006200,0,0,40.8,41.2,41.4,40.9,46.8,36.5,0,0
 2022-03-30 11:59:32,40,40,Ready,41.3,329200,2170800,0,0,41.3,41.6,41.8,41.4,47,36.7,0,0
 2022-03-30 11:59:34,40,40,Ready,40.2,219450,2280550,0,0,41.5,41.9,42.1,41.7,47.1,36.9,0,0
 2022-03-30 11:59:37,40,40,Ready,39.1,146300,2353700,0,0,41.7,42.1,42.3,41.9,47.2,37,0,0
 2022-03-30 11:59:40,40,40,Ready,38.3,97525,2402475,0,0,41.9,42.3,42.4,42,47.4,37.2,0,0
